,Classement,Voitures
0,1,TESLA - MODEL Y
1,2,FIAT - 500
2,3,PEUGEOT - 208
3,4,DACIA - SPRING
4,5,M.G. - MG4
5,6,RENAULT - MEGANE-E
6,7,TESLA - MODEL 3
7,8,MINI - MINI
8,9,PEUGEOT - 2008
9,10,OPEL - CORSA
10,11,RENAULT - ZOE
11,12,KIA - NIRO
12,13,HYUNDAI - KONA
13,14,VOLKSWAGEN - ID.4
14,15,M.G. - ZS
15,16,VOLKSWAGEN - ID.3
16,17,JEEP - AVENGER
17,18,VOLVO - XC40
18,19,SKODA - ENYAQ
19,20,RENAULT - TWINGO
20,21,CITROEN - E-C4
21,22,AUDI - Q4 E-TRON
22,23,CUPRA - BORN
23,24,KIA - EV6
24,25,VOLKSWAGEN - UP
25,26,B.M.W. - IX1
26,27,MERCEDES - EQA
27,28,HYUNDAI - IONIQ 5
28,29,DS - DS3 CBACK
29,30,B.M.W. - SERIE 4
30,31,VOLVO - C40
31,32,OPEL - MOKKA
32,33,FORD - MACH-E
33,34,TESLA - MODEL S
34,35,PEUGEOT - E-RIFTER
35,36,TESLA - MODEL X
36,37,M.G. - MARVEL R
37,38,VOLKSWAGEN - ID.BUZZ
38,39,CITROEN - E-C4 X
39,40,NISSAN - LEAF
40,41,VOLKSWAGEN - ID.5
41,42,BYD - ATTO 3
42,43,HYUNDAI - IONIQ 6
43,44,LEAPMOTOR - T03
44,45,SMART - FORTWO
45,46,MERCEDES - EQB
46,47,B.M.W. - IX3
47,48,AUDI - Q8 E-TRON
48,49,CITROEN - E-BERLING
49,50,PEUGEOT - EXPERT
50,51,PEUGEOT - 308
51,52,PORSCHE - TAYCAN
52,53,MERCEDES - EQE
53,54,SMART - #1
54,55,M.G. - MG5
55,56,AUDI - E-TRON GT
56,57,MERCEDES - EQV
57,58,B.M.W. - IX
58,59,NISSAN - ARIYA
59,60,AUDI - E-TRON
60,61,MAZDA - MX-30
61,62,MERCEDES - EQS
62,63,OPEL - ZAFIRA
63,64,RENAULT - KANGOO
64,65,TOYOTA - PROACE
65,66,CITROEN - JUMPY
66,67,KIA - SOUL
67,68,MERCEDES - EQC
68,69,SERES - SERES 3
69,70,B.M.W. - SERIE 7
70,71,OPEL - COMBO-E
71,72,LEXUS - RZ450E
72,73,HONDA - E
73,74,AIWAYS - U5
74,75,SUBARU - SOLTERRA
75,76,TOYOTA - PRO.CITY
76,77,BYD - HAN
77,78,BYD - TANG
78,79,JAGUAR - I-PACE
